type,trial,word,value_col,condition,result,duration
image,1,rechter,1,nongendered_man,correct,0.5013904571533203
image,2,kunstenares,2,gendered_mismatch,incorrect,0.6638298034667969
image,3,kapper,3,job_mismatch,incorrect,0.7704646587371826
image,4,boerin,3,job_mismatch,incorrect,0.8556575775146484
image,5,lerares,1,gendered_match,correct,1.0403006076812744
image,6,lerares,1,gendered_match,correct,0.5703136920928955
image,7,hoogleraar,3,nongendered_wrong,incorrect,0.7489116191864014
image,8,burgermeester,3,nongendered_wrong,incorrect,0.5797028541564941
image,9,boerin,3,job_mismatch,incorrect,0.7861433029174805
image,10,burgermeester,3,nongendered_wrong,incorrect,0.5546252727508545
image,11,rechter,2,nongendered_vrouw,incorrect,0.8331835269927979
image,12,verpleegkundige,3,nongendered_wrong,incorrect,0.7640476226806641
image,13,kunstenaar,1,gendered_match,incorrect,0.6021115779876709
image,14,kapper,1,gendered_match,correct,0.6078028678894043
image,15,rechter,1,nongendered_man,correct,0.554495096206665
image,16,boerin,1,gendered_match,correct,0.4793355464935303
image,17,schrijfster,3,job_mismatch,incorrect,0.6703064441680908
image,18,kunstenaar,1,gendered_match,correct,1.3656046390533447
image,19,leraar,1,gendered_match,correct,1.0711579322814941
image,20,schrijfster,2,gendered_mismatch,incorrect,0.9554181098937988
image,1,kok,1,gendered_match,correct,0.976517915725708
image,2,kunstenaar,1,gendered_match,correct,1.2412302494049072
image,3,kok,3,job_mismatch,incorrect,0.7510406970977783
image,4,kunstenares,1,gendered_match,correct,0.6379070281982422
image,5,kapper,1,gendered_match,correct,0.7679648399353027
image,6,kapper,3,job_mismatch,incorrect,0.7200865745544434
image,7,boer,2,gendered_mismatch,incorrect,0.9269351959228516
image,8,burgermeester,1,gendered_match,correct,0.990802526473999
image,9,hoogleraar,2,gendered_mismatch,incorrect,0.610325813293457
image,10,kapster,2,gendered_mismatch,incorrect,1.4175059795379639
image,11,kapster,3,job_mismatch,incorrect,0.7645323276519775
image,12,verpleegkundige,2,gendered_mismatch,incorrect,1.1560642719268799
image,13,verpleegkundige,3,job_mismatch,incorrect,1.000328779220581
image,14,kok,2,gendered_mismatch,incorrect,0.989424467086792
image,15,boer,2,gendered_mismatch,incorrect,1.5612390041351318
image,16,rechter,2,gendered_mismatch,incorrect,0.46881532669067383
image,17,kok,1,gendered_match,correct,0.5476584434509277
image,18,chirug,1,gendered_match,correct,0.7127039432525635
image,19,kok,3,job_mismatch,incorrect,0.6183881759643555
image,20,rechter,2,gendered_mismatch,incorrect,0.5305769443511963
