type,trial,word,value_col,condition,result,duration
image,1,kok,1,nongendered_man,correct,0.7018284797668457
image,2,kunstenares,2,gendered_mismatch,incorrect,0.949580192565918
image,3,burgermeester,2,nongendered_vrouw,correct,0.7860183715820312
image,4,kok,2,nongendered_vrouw,correct,0.9554221630096436
image,5,rechter,2,nongendered_vrouw,correct,0.6010398864746094
image,6,hoogleraar,2,nongendered_vrouw,correct,0.8014583587646484
image,7,leraar,2,gendered_mismatch,incorrect,1.2093071937561035
image,8,boer,3,job_mismatch,incorrect,1.6721456050872803
image,9,chirug,3,nongendered_wrong,incorrect,1.0028951168060303
image,10,verpleegkundige,2,nongendered_vrouw,incorrect,0.5703718662261963
image,11,kok,1,nongendered_man,correct,1.40297269821167
image,12,boerin,3,job_mismatch,incorrect,1.2718420028686523
image,13,verpleegkundige,3,nongendered_wrong,incorrect,0.6702508926391602
image,14,kok,1,nongendered_man,correct,1.0182843208312988
image,15,burgermeester,2,nongendered_vrouw,correct,0.6483116149902344
image,16,rechter,1,nongendered_man,correct,0.7485322952270508
image,17,kapster,3,job_mismatch,incorrect,0.8174622058868408
image,18,chirug,3,nongendered_wrong,incorrect,0.6169369220733643
image,19,kunstenaar,2,gendered_mismatch,incorrect,1.1808631420135498
image,20,verpleegkundige,3,nongendered_wrong,incorrect,0.9177021980285645
image,1,burgermeester,3,nongendered_wrong,incorrect,0.9396891593933105
image,2,leraar,2,nongendered_vrouw,incorrect,0.8578386306762695
image,3,kapster,1,nongendered_man,correct,1.0549156665802002
image,4,kok,2,nongendered_vrouw,correct,0.723806619644165
image,5,schrijfster,3,nongendered_wrong,incorrect,0.8916959762573242
image,6,hoogleraar,3,nongendered_wrong,incorrect,0.6653754711151123
image,7,kok,2,nongendered_vrouw,correct,0.5754787921905518
image,8,kapper,1,nongendered_man,correct,0.6485280990600586
image,9,rechter,1,nongendered_man,correct,0.5734050273895264
image,10,boer,2,nongendered_vrouw,incorrect,1.3663015365600586
image,11,rechter,3,nongendered_wrong,incorrect,0.944056510925293
image,12,burgermeester,2,nongendered_vrouw,correct,0.6303267478942871
image,13,kok,3,nongendered_wrong,incorrect,0.7568109035491943
image,14,kapster,2,nongendered_vrouw,incorrect,3.021850109100342
image,15,verpleegkundige,2,nongendered_vrouw,correct,0.5349202156066895
image,16,lerares,1,nongendered_man,correct,0.7725522518157959
image,17,verpleegkundige,2,nongendered_vrouw,correct,0.9185981750488281
image,18,chirug,2,nongendered_vrouw,correct,0.5187005996704102
image,19,schrijfster,1,nongendered_man,correct,1.40932035446167
image,20,schrijfster,1,nongendered_man,correct,0.7738473415374756
