type,trial,word,value_col,condition,response,result,duration
image,1,rechter,1,nongendered_man,y,correct,0.6173937320709229
image,2,hoogleraar,2,nongendered_vrouw,y,correct,0.6705751419067383
image,3,boerin,2,gendered_mismatch,n,incorrect,0.6328153610229492
image,4,rechter,3,nongendered_wrong,n,incorrect,0.949146032333374
image,5,kapper,1,gendered_match,y,correct,1.4338648319244385
image,6,burgermeester,2,nongendered_vrouw,y,correct,0.6015307903289795
image,7,burgermeester,1,nongendered_man,y,correct,0.7172417640686035
image,8,boer,2,gendered_mismatch,n,incorrect,0.7388241291046143
image,9,verpleegkundige,1,nongendered_man,y,correct,0.7169365882873535
image,10,boer,1,gendered_match,y,correct,0.8328239917755127
image,11,kapper,3,job_mismatch,n,incorrect,0.7862851619720459
image,12,kapster,3,job_mismatch,n,incorrect,0.6543881893157959
image,13,burgermeester,3,nongendered_wrong,n,incorrect,0.8018176555633545
image,14,chirug,1,nongendered_man,y,correct,0.9331231117248535
image,15,rechter,2,nongendered_vrouw,y,correct,0.5006759166717529
image,16,boer,1,gendered_match,y,correct,1.0019769668579102
image,17,burgermeester,2,nongendered_vrouw,y,correct,0.5230672359466553
image,18,verpleegkundige,2,nongendered_vrouw,y,correct,0.6323583126068115
image,19,boerin,2,gendered_mismatch,y,incorrect,0.8014509677886963
image,20,chirug,2,nongendered_vrouw,y,correct,0.5699687004089355
image,1,verpleegkundige,3,nongendered_wrong,n,incorrect,1.4438714981079102
image,2,schrijfster,1,nongendered_man,y,correct,0.8727564811706543
image,3,verpleegkundige,3,nongendered_wrong,n,incorrect,1.1545934677124023
image,4,kok,2,nongendered_vrouw,y,correct,1.0206224918365479
image,5,kok,1,nongendered_man,y,correct,0.5510475635528564
image,6,rechter,2,nongendered_vrouw,y,correct,0.8029086589813232
image,7,schrijfster,3,nongendered_wrong,n,incorrect,0.7268819808959961
image,8,hoogleraar,3,nongendered_wrong,n,incorrect,0.9204697608947754
image,9,burgermeester,1,nongendered_man,y,correct,0.6292357444763184
image,10,burgermeester,2,nongendered_vrouw,y,correct,0.6061890125274658
image,11,kok,3,nongendered_wrong,n,incorrect,0.9231095314025879
image,12,rechter,2,nongendered_vrouw,y,correct,0.6021304130554199
image,13,chirug,2,nongendered_vrouw,y,correct,0.6369473934173584
image,14,lerares,3,nongendered_wrong,n,incorrect,0.5815916061401367
image,15,verpleegkundige,2,nongendered_vrouw,y,correct,0.6223187446594238
image,16,verpleegkundige,2,nongendered_vrouw,y,correct,0.5320377349853516
image,17,kok,1,nongendered_man,y,correct,2.208730697631836
image,18,kapster,1,nongendered_man,y,correct,1.0697696208953857
image,19,burgermeester,2,nongendered_vrouw,y,correct,0.5053911209106445
image,20,schrijver,3,nongendered_wrong,n,incorrect,0.7554631233215332
