type,trial,word,value_col,key,gendered,rightornot,duration
image,1,schrijfster,3,n,1,,1.0495502948760986
image,2,leraar,3,n,1,,0.7642843723297119
image,3,kapper,1,n,1,,0.8959062099456787
image,4,chirug,3,n,0,,0.6706006526947021
image,5,burgermeester,3,n,0,,0.8021857738494873
image,6,schrijfster,2,n,1,,0.7865257263183594
image,7,boer,3,n,1,,0.6171624660491943
image,8,rechter,1,y,0,,0.670635461807251
image,9,kok,2,y,0,,0.6394679546356201
image,10,hoogleraar,3,n,0,,0.7864959239959717
image,11,schrijfster,2,n,1,,1.0182435512542725
image,12,kok,1,y,0,,0.7643952369689941
image,13,kunstenaar,2,n,1,,2.4532041549682617
image,14,rechter,3,n,0,,0.7331538200378418
image,15,rechter,2,y,0,,0.5390398502349854
image,16,kunstenaar,3,n,1,,0.6392488479614258
image,17,kapster,1,y,1,,0.7708649635314941
image,18,burgermeester,2,y,0,,0.5170226097106934
image,19,kapster,1,y,1,,0.5012900829315186
image,20,kapper,1,y,1,,0.9025266170501709
sound,1,schrijfster,2,,1,,0.026929140090942383
sound,2,burgermeester,2,y,0,,0.9299411773681641
sound,3,kok,3,n,0,,0.684063196182251
sound,4,chirug,2,y,0,,0.9092967510223389
sound,5,kapster,3,n,1,,0.6420276165008545
sound,6,rechter,3,n,0,,0.6012618541717529
sound,7,schrijver,2,n,1,,1.2439184188842773
sound,8,boer,3,n,1,,0.5618548393249512
sound,9,leraar,3,n,1,,0.9094798564910889
sound,10,boer,1,y,1,,0.46031761169433594
sound,11,rechter,3,y,0,,1.105194091796875
sound,12,boerin,1,n,1,,0.685992956161499
sound,13,kapster,2,y,1,,1.329932451248169
sound,14,rechter,2,y,0,,0.5554749965667725
sound,15,boer,1,y,1,,0.5385603904724121
sound,16,kunstenaar,1,y,1,,1.1110293865203857
sound,17,verpleegkundige,3,n,0,,0.690831184387207
sound,18,verpleegkundige,1,y,0,,0.6665053367614746
sound,19,chirug,1,y,0,,0.8906466960906982
sound,20,verpleegkundige,1,y,0,,0.5959088802337646
