type,trial,word,value_col,key,gendered,rightornot,duration
image,1,chirug,1,n,0,,0.000997781753540039
image,2,kok,1,y,0,,0.43483829498291016
image,3,chirug,3,n,0,,6.567436218261719
image,4,verpleegkundige,1,y,0,,1.6695358753204346
image,5,verpleegkundige,3,n,0,,1.811156988143921
image,6,rechter,2,y,0,,1.1409471035003662
image,7,chirug,2,y,0,,1.1519193649291992
image,8,kunstenares,2,n,1,,2.567133903503418
image,9,hoogleraar,3,n,0,,1.3055088520050049
image,10,kapper,3,n,1,,1.2097654342651367
image,11,kok,2,y,0,,2.2649435997009277
image,12,kunstenares,1,y,1,,1.5659334659576416
image,13,kunstenares,2,n,1,,1.4565887451171875
image,14,kapster,3,n,1,,1.0599067211151123
image,15,kunstenares,1,y,1,,1.0452823638916016
image,16,rechter,2,y,0,,1.0056641101837158
image,17,kapster,2,n,1,,1.1047894954681396
image,18,kunstenares,1,y,1,,1.0364713668823242
image,19,verpleegkundige,1,n,0,,0.741755485534668
image,20,schrijfster,3,n,1,,0.9952454566955566
sound,1,verpleegkundige,3,n,0,,1.17808198928833
sound,2,burgermeester,2,y,0,,1.4466187953948975
sound,3,boerin,3,n,1,,0.981548547744751
sound,4,kunstenaar,3,n,1,,1.035431146621704
sound,5,kapper,1,y,1,,2.4045989513397217
sound,6,hoogleraar,1,y,0,,1.7200207710266113
sound,7,kok,1,y,0,,1.0462870597839355
sound,8,schrijver,1,y,1,,0.7046120166778564
sound,9,verpleegkundige,1,y,0,,0.796745777130127
sound,10,boer,1,y,1,,0.7606451511383057
sound,11,hoogleraar,1,y,0,,1.2581260204315186
sound,12,kapper,2,y,1,,3.565908670425415
sound,13,kunstenares,1,y,1,,0.9540820121765137
sound,14,leraar,3,n,1,,0.987419843673706
sound,15,hoogleraar,2,y,0,,0.7953879833221436
sound,16,boer,2,n,1,,0.7999274730682373
sound,17,schrijver,1,y,1,,0.9553108215332031
sound,18,kunstenaar,2,n,1,,0.8354671001434326
sound,19,kok,3,n,0,,0.8787541389465332
sound,20,kapper,2,n,1,,0.8299660682678223
