type,trial,word,value_col,key,gendered,rightornot,duration,participant
image,1,schrijfster,3,n,1,1,1.0495502948760986,mich
image,2,leraar,3,n,1,1,0.7642843723297119,mich
image,3,kapper,1,n,1,0,0.8959062099456787,mich
image,4,chirug,3,n,0,1,0.6706006526947021,mich
image,5,burgermeester,3,n,0,1,0.8021857738494873,mich
image,6,schrijfster,2,n,1,1,0.7865257263183594,mich
image,7,boer,3,n,1,1,0.6171624660491943,mich
image,8,rechter,1,y,0,1,0.670635461807251,mich
image,9,kok,2,y,0,1,0.6394679546356201,mich
image,10,hoogleraar,3,n,0,1,0.7864959239959717,mich
image,11,schrijfster,2,n,1,1,1.0182435512542725,mich
image,12,kok,1,y,0,1,0.7643952369689941,mich
image,13,kunstenaar,2,n,1,1,2.4532041549682617,mich
image,14,rechter,3,n,0,1,0.7331538200378418,mich
image,15,rechter,2,y,0,1,0.5390398502349854,mich
image,16,kunstenaar,3,n,1,1,0.6392488479614258,mich
image,17,kapster,1,y,1,1,0.7708649635314941,mich
image,18,burgermeester,2,y,0,1,0.5170226097106934,mich
image,19,kapster,1,y,1,1,0.5012900829315186,mich
image,20,kapper,1,y,1,1,0.9025266170501708,mich
sound,1,schrijfster,2,,1,0,0.0269291400909423,mich
sound,2,burgermeester,2,y,0,1,0.929941177368164,mich
sound,3,kok,3,n,0,1,0.684063196182251,mich
sound,4,chirug,2,y,0,1,0.9092967510223388,mich
sound,5,kapster,3,n,1,1,0.6420276165008545,mich
sound,6,rechter,3,n,0,1,0.6012618541717529,mich
sound,7,schrijver,2,n,1,1,1.2439184188842771,mich
sound,8,boer,3,n,1,1,0.5618548393249512,mich
sound,9,leraar,3,n,1,1,0.9094798564910888,mich
sound,10,boer,1,y,1,1,0.4603176116943359,mich
sound,11,rechter,3,y,0,0,1.105194091796875,mich
sound,12,boerin,1,n,1,0,0.685992956161499,mich
sound,13,kapster,2,y,1,0,1.329932451248169,mich
sound,14,rechter,2,y,0,1,0.5554749965667725,mich
sound,15,boer,1,y,1,1,0.5385603904724121,mich
sound,16,kunstenaar,1,y,1,1,1.1110293865203855,mich
sound,17,verpleegkundige,3,n,0,1,0.690831184387207,mich
sound,18,verpleegkundige,1,y,0,1,0.6665053367614746,mich
sound,19,chirug,1,y,0,1,0.8906466960906982,mich
sound,20,verpleegkundige,1,y,0,1,0.5959088802337646,mich
image,1,rechter,2,y,0,1,1.0402181148529053,mart
image,2,schrijfster,1,y,1,1,1.0970675945281982,mart
image,3,kapster,1,y,1,1,0.8317763805389404,mart
image,4,chirug,3,n,0,1,0.9664180278778076,mart
image,5,schrijver,1,y,1,1,1.0900890827178955,mart
image,6,kok,1,y,0,1,1.0601656436920166,mart
image,7,kok,1,y,0,1,1.4142191410064695,mart
image,8,kapster,2,y,1,0,0.8130207061767578,mart
image,9,kok,1,y,0,1,1.6050126552581787,mart
image,10,kunstenaar,1,y,1,1,1.499347448348999,mart
image,11,chirug,2,y,0,1,1.5958712100982666,mart
image,12,rechter,1,y,0,1,1.0351338386535645,mart
image,13,hoogleraar,1,y,0,1,1.154266595840454,mart
image,14,hoogleraar,1,y,0,1,0.5326952934265137,mart
image,15,schrijver,2,y,1,0,0.7061376571655273,mart
image,16,kapster,2,y,1,0,3.774127721786499,mart
image,17,kok,3,n,0,1,1.7742369174957275,mart
image,18,kok,1,y,0,1,0.7732052803039551,mart
image,19,schrijfster,1,y,1,1,0.6055519580841064,mart
image,20,verpleegkundige,2,y,0,1,0.7984633445739746,mart
sound,1,verpleegkundige,2,y,0,1,1.6387441158294678,mart
sound,2,kok,1,y,0,1,0.5644567012786865,mart
sound,3,rechter,2,y,0,1,0.368356704711914,mart
sound,4,verpleegkundige,2,y,0,1,1.087015151977539,mart
sound,5,kapster,3,n,1,1,0.9218757152557372,mart
sound,6,boerin,2,n,1,1,1.7174272537231443,mart
sound,7,kok,1,n,0,0,1.5715742111206057,mart
sound,8,kunstenaar,2,y,1,0,1.059154033660889,mart
sound,9,schrijfster,2,n,1,1,2.742213010787964,mart
sound,10,verpleegkundige,3,n,0,1,2.248582601547241,mart
sound,11,kapster,3,n,1,1,0.7818610668182373,mart
sound,12,boer,1,y,1,1,1.4866111278533936,mart
sound,13,hoogleraar,2,y,0,1,0.471851110458374,mart
sound,14,leraar,2,n,1,1,2.2907164096832275,mart
sound,15,rechter,1,y,0,1,0.5188860893249512,mart
sound,16,hoogleraar,2,n,0,0,0.4210877418518066,mart
sound,17,boer,3,n,1,1,0.7897629737854004,mart
sound,18,kok,2,n,0,0,3.764285087585449,mart
sound,19,kapster,1,y,1,1,0.559565544128418,mart
