type,trial,word,value_col,key,gendered,rightornot,duration,participant
image,1,chirug,1,n,0,,0.00099778175354,ieke.csv
image,2,kok,1,y,0,,0.4348382949829101,ieke.csv
image,3,chirug,3,n,0,,6.567436218261719,ieke.csv
image,4,verpleegkundige,1,y,0,,1.6695358753204346,ieke.csv
image,5,verpleegkundige,3,n,0,,1.811156988143921,ieke.csv
image,6,rechter,2,y,0,,1.1409471035003662,ieke.csv
image,7,chirug,2,y,0,,1.1519193649291992,ieke.csv
image,8,kunstenares,2,n,1,,2.567133903503418,ieke.csv
image,9,hoogleraar,3,n,0,,1.3055088520050049,ieke.csv
image,10,kapper,3,n,1,,1.2097654342651367,ieke.csv
image,11,kok,2,y,0,,2.264943599700928,ieke.csv
image,12,kunstenares,1,y,1,,1.5659334659576416,ieke.csv
image,13,kunstenares,2,n,1,,1.4565887451171875,ieke.csv
image,14,kapster,3,n,1,,1.0599067211151123,ieke.csv
image,15,kunstenares,1,y,1,,1.0452823638916016,ieke.csv
image,16,rechter,2,y,0,,1.0056641101837158,ieke.csv
image,17,kapster,2,n,1,,1.1047894954681396,ieke.csv
image,18,kunstenares,1,y,1,,1.0364713668823242,ieke.csv
image,19,verpleegkundige,1,n,0,,0.741755485534668,ieke.csv
image,20,schrijfster,3,n,1,,0.9952454566955566,ieke.csv
sound,1,verpleegkundige,3,n,0,,1.17808198928833,ieke.csv
sound,2,burgermeester,2,y,0,,1.4466187953948977,ieke.csv
sound,3,boerin,3,n,1,,0.981548547744751,ieke.csv
sound,4,kunstenaar,3,n,1,,1.035431146621704,ieke.csv
sound,5,kapper,1,y,1,,2.4045989513397217,ieke.csv
sound,6,hoogleraar,1,y,0,,1.720020771026611,ieke.csv
sound,7,kok,1,y,0,,1.0462870597839355,ieke.csv
sound,8,schrijver,1,y,1,,0.7046120166778564,ieke.csv
sound,9,verpleegkundige,1,y,0,,0.796745777130127,ieke.csv
sound,10,boer,1,y,1,,0.7606451511383057,ieke.csv
sound,11,hoogleraar,1,y,0,,1.2581260204315186,ieke.csv
sound,12,kapper,2,y,1,,3.565908670425415,ieke.csv
sound,13,kunstenares,1,y,1,,0.9540820121765136,ieke.csv
sound,14,leraar,3,n,1,,0.987419843673706,ieke.csv
sound,15,hoogleraar,2,y,0,,0.7953879833221436,ieke.csv
sound,16,boer,2,n,1,,0.7999274730682373,ieke.csv
sound,17,schrijver,1,y,1,,0.9553108215332032,ieke.csv
sound,18,kunstenaar,2,n,1,,0.8354671001434326,ieke.csv
sound,19,kok,3,n,0,,0.8787541389465332,ieke.csv
sound,20,kapper,2,n,1,,0.8299660682678223,ieke.csv
