type,trial,word,value_col,key,gendered,rightornot,duration,participant
image,1,rechter,2,y,0,,1.0402181148529053,mart.csv
image,2,schrijfster,1,y,1,,1.0970675945281982,mart.csv
image,3,kapster,1,y,1,,0.8317763805389404,mart.csv
image,4,chirug,3,n,0,,0.9664180278778076,mart.csv
image,5,schrijver,1,y,1,,1.0900890827178955,mart.csv
image,6,kok,1,y,0,,1.0601656436920166,mart.csv
image,7,kok,1,y,0,,1.4142191410064695,mart.csv
image,8,kapster,2,y,1,,0.8130207061767578,mart.csv
image,9,kok,1,y,0,,1.6050126552581787,mart.csv
image,10,kunstenaar,1,y,1,,1.499347448348999,mart.csv
image,11,chirug,2,y,0,,1.5958712100982666,mart.csv
image,12,rechter,1,y,0,,1.0351338386535645,mart.csv
image,13,hoogleraar,1,y,0,,1.154266595840454,mart.csv
image,14,hoogleraar,1,y,0,,0.5326952934265137,mart.csv
image,15,schrijver,2,y,1,,0.7061376571655273,mart.csv
image,16,kapster,2,y,1,,3.774127721786499,mart.csv
image,17,kok,3,n,0,,1.7742369174957275,mart.csv
image,18,kok,1,y,0,,0.7732052803039551,mart.csv
image,19,schrijfster,1,y,1,,0.6055519580841064,mart.csv
image,20,verpleegkundige,2,y,0,,0.7984633445739746,mart.csv
sound,1,verpleegkundige,2,y,0,,1.6387441158294678,mart.csv
sound,2,kok,1,y,0,,0.5644567012786865,mart.csv
sound,3,rechter,2,y,0,,0.368356704711914,mart.csv
sound,4,verpleegkundige,2,y,0,,1.087015151977539,mart.csv
sound,5,kapster,3,n,1,,0.9218757152557372,mart.csv
sound,6,boerin,2,n,1,,1.7174272537231443,mart.csv
sound,7,kok,1,n,0,,1.5715742111206057,mart.csv
sound,8,kunstenaar,2,y,1,,1.059154033660889,mart.csv
sound,9,schrijfster,2,n,1,,2.742213010787964,mart.csv
sound,10,verpleegkundige,3,n,0,,2.248582601547241,mart.csv
sound,11,kapster,3,n,1,,0.7818610668182373,mart.csv
sound,12,boer,1,y,1,,1.4866111278533936,mart.csv
sound,13,hoogleraar,2,y,0,,0.471851110458374,mart.csv
sound,14,leraar,2,n,1,,2.2907164096832275,mart.csv
sound,15,rechter,1,y,0,,0.5188860893249512,mart.csv
sound,16,hoogleraar,2,n,0,,0.4210877418518066,mart.csv
sound,17,boer,3,n,1,,0.7897629737854004,mart.csv
sound,18,kok,2,n,0,,3.764285087585449,mart.csv
sound,19,kapster,1,y,1,,0.559565544128418,mart.csv
sound,20,kapster,3,n,1,,0.6170697212219238,mart.csv
