word,correct,gender_distractor,job_distractor,gendered
boer,boer_man.jpg,boerin_vrouw.jpg,kapper_man.jpg,y
boerin,boerin_vrouw.jpg,boer_man.jpg,hoogleraar_vrouw.jpg,y
kapper,kapper_man.jpg,kapster_vrouw.jpg,kok_man.jpg,y
kapster,kapster_vrouw.jpg,kapper_man.jpg,boerin_vrouw.jpg,y
kunstenaar,kunstenaar_man.jpg,kunstenares_vrouw.jpg,leraar_man.jpg,y
kunstenares,kunstenares_vrouw.jpg,kunstenaar_man.jpg,kok_vrouw.jpg,y
leraar,leraar_man.jpg,lerares_vrouw.jpg,boer_man.jpg,y
lerares,lerares_vrouw.jpg,leraar_man.jpg,verpleegkundige_vrouw.jpg,y
schrijfster,schrijfster_vrouw.jpg,schrijver_man.jpg,rechter_vrouw.jpg,y
schrijver,schrijver_man.jpg,schrijfster_vrouw.jpg,kapper_man.jpg,y
burgermeester,burgermeester_vrouw.jpg,burgermeester_man.jpg,kunstenares_vrouw.jpg,n
burgermeester,burgermeester_man.jpg,burgermeester_vrouw.jpg,schrijver_man.jpg,n
chirug,chirug_man.jpg,chirug_vrouw.jpg,rechter_man.jpg,n
chirug,chirug_vrouw.jpg,chirug_man.jpg,kapster_vrouw.jpg,n
hoogleraar,hoogleraar_man.jpg,hoogleraar_vrouw.jpg,verpleegkundige_man.jpg,n
hoogleraar,hoogleraar_vrouw.jpg,hoogleraar_man.jpg,boerin_vrouw.jpg,n
kok,kok_man.jpg,kok_vrouw.jpg,verpleegkundige_man.jpg,n
kok,kok_vrouw.jpg,kok_man.jpg,chirug_vrouw.jpg,n
rechter,rechter_man.jpg,rechter_vrouw.jpg,hoogleraar_man.jpg,n
rechter,rechter_vrouw.jpg,rechter_man.jpg,kunstenares_vrouw.jpg,n
verpleegkundige,verpleegkundige_man.jpg,verpleegkundige_vrouw.jpg,kok_man.jpg,n
verpleegkundige,verpleegkundige_vrouw.jpg,verpleegkundige_man.jpg,lerares_vrouw.jpg,n
