word,correct,gender_distractor,job_distractor,gendered
boer,boer_man.mp3,boerin_vrouw.mp3,kapper_man.mp3,y
boerin,boerin_vrouw.mp3,boer_man.mp3,hoogleraar_vrouw.mp3,y
kapper,kapper_man.mp3,kapster_vrouw.mp3,kok_man.mp3,y
kapster,kapster_vrouw.mp3,kapper_man.mp3,boerin_vrouw.mp3,y
kunstenaar,kunstenaar_man.mp3,kunstenares_vrouw.mp3,leraar_man.mp3,y
kunstenares,kunstenares_vrouw.mp3,kunstenaar_man.mp3,kok_vrouw.mp3,y
leraar,leraar_man.mp3,lerares_vrouw.mp3,boer_man.mp3,y
lerares,lerares_vrouw.mp3,leraar_man.mp3,verpleegkundige_vrouw.mp3,y
schrijfster,schrijfster_vrouw.mp3,schrijver_man.mp3,rechter_vrouw.mp3,y
schrijver,schrijver_man.mp3,schrijfster_vrouw.mp3,kapper_man.mp3,y
burgermeester,burgermeester_vrouw.mp3,burgermeester_man.mp3,kunstenares_vrouw.mp3,n
burgermeester,burgermeester_man.mp3,burgermeester_vrouw.mp3,schrijver_man.mp3,n
chirug,chirug_man.mp3,chirug_vrouw.mp3,rechter_man.mp3,n
chirug,chirug_vrouw.mp3,chirug_man.mp3,kapster_vrouw.mp3,n
hoogleraar,hoogleraar_man.mp3,hoogleraar_vrouw.mp3,verpleegkundige_man.mp3,n
hoogleraar,hoogleraar_vrouw.mp3,hoogleraar_man.mp3,boerin_vrouw.mp3,n
kok,kok_man.mp3,kok_vrouw.mp3,verpleegkundige_man.mp3,n
kok,kok_vrouw.mp3,kok_man.mp3,chirug_vrouw.mp3,n
rechter,rechter_man.mp3,rechter_vrouw.mp3,hoogleraar_man.mp3,n
rechter,rechter_vrouw.mp3,rechter_man.mp3,kunstenares_vrouw.mp3,n
verpleegkundige,verpleegkundige_man.mp3,verpleegkundige_vrouw.mp3,kok_man.mp3,n
verpleegkundige,verpleegkundige_vrouw.mp3,verpleegkundige_man.mp3,lerares_vrouw.mp3,n
